in s,C2 in V
-4.4149328E-02,3.29590E-03
-4.4148728E-02,2.56348E-03
-4.4148128E-02,6.95801E-03
-4.4147528E-02,3.29590E-03
-4.4146928E-02,1.83105E-03
-4.4146328E-02,3.29590E-03
-4.4145728E-02,-2.56348E-03
-4.4145128E-02,3.29590E-03
-4.4144528E-02,2.56348E-03
-4.4143928E-02,5.49316E-03
-4.4143328E-02,4.76074E-03
-4.4142728E-02,3.29590E-03
-4.4142128E-02,4.02832E-03
-4.4141528E-02,4.02832E-03
-4.4140928E-02,4.02832E-03
-4.4140328E-02,3.66211E-04
-4.4139728E-02,4.02832E-03
-4.4139128E-02,1.09863E-03
-4.4138528E-02,5.49316E-03
-4.4137928E-02,3.29590E-03
-4.4137328E-02,-3.66211E-04
-4.4136728E-02,4.02832E-03
-4.4136128E-02,6.95801E-03
-4.4135528E-02,4.76074E-03
-4.4134928E-02,9.15527E-03
-4.4134328E-02,1.09863E-03
-4.4133728E-02,3.29590E-03
-4.4133128E-02,6.22559E-03
-4.4132528E-02,4.02832E-03
-4.4131928E-02,6.22559E-03
-4.4131328E-02,6.22559E-03
-4.4130728E-02,5.49316E-03
-4.4130128E-02,1.83105E-03
-4.4129528E-02,5.49316E-03
-4.4128928E-02,3.66211E-04
-4.4128328E-02,3.29590E-03
-4.4127728E-02,4.76074E-03
-4.4127128E-02,5.49316E-03
-4.4126528E-02,2.56348E-03
-4.4125928E-02,4.76074E-03
-4.4125328E-02,1.83105E-03
-4.4124728E-02,4.76074E-03
-4.4124128E-02,6.22559E-03
-4.4123528E-02,-1.83105E-03
-4.4122928E-02,8.42285E-03
-4.4122328E-02,4.02832E-03
-4.4121728E-02,5.49316E-03
-4.4121128E-02,4.02832E-03
-4.4120528E-02,1.09863E-03
-4.4119928E-02,5.49316E-03
-4.4119328E-02,4.02832E-03
-4.4118728E-02,4.02832E-03
-4.4118128E-02,3.29590E-03
-4.4117528E-02,6.22559E-03
-4.4116928E-02,4.02832E-03
-4.4116328E-02,5.49316E-03
-4.4115728E-02,3.29590E-03
-4.4115128E-02,1.83105E-03
-4.4114528E-02,6.95801E-03
-4.4113928E-02,5.49316E-03
-4.4113328E-02,1.09863E-03
-4.4112728E-02,4.76074E-03
-4.4112128E-02,3.29590E-03
-4.4111528E-02,4.02832E-03
-4.4110928E-02,4.02832E-03
-4.4110328E-02,1.09863E-03
-4.4109728E-02,8.42285E-03
-4.4109128E-02,4.02832E-03
-4.4108528E-02,4.76074E-03
-4.4107928E-02,3.29590E-03
-4.4107328E-02,5.49316E-03
-4.4106728E-02,3.66211E-04
-4.4106128E-02,2.56348E-03
-4.4105528E-02,4.02832E-03
-4.4104928E-02,5.49316E-03
-4.4104328E-02,4.02832E-03
-4.4103728E-02,1.09863E-03
-4.4103128E-02,4.02832E-03
-4.4102528E-02,6.22559E-03
-4.4101928E-02,6.22559E-03
-4.4101328E-02,-4.02832E-03
-4.4100728E-02,6.95801E-03
-4.4100128E-02,5.49316E-03
-4.4099528E-02,5.49316E-03
-4.4098928E-02,4.76074E-03
-4.4098328E-02,1.83105E-03
-4.4097728E-02,7.69043E-03
-4.4097128E-02,5.49316E-03
-4.4096528E-02,5.49316E-03
-4.4095928E-02,8.42285E-03
