-10 $\mu$A
$V_{\rm bias}$ 	$i$
V 	A
5.01E-02	-1.01E-05
1.03E-01	-9.95E-06
0.15016	-9.92E-06
0.203533	-9.73E-06
0.251545	-8.57E-06
0.299641	-1.41E-06
0.350388	4.29E-05
0.405164	2.64E-04
0.4546	8.65E-04
0.502571	2.40E-03
0.550516	5.10E-03
0.6	9.68E-03
0.649979	1.20E-02
0.704804	1.20E-02
0.752051	1.20E-02
0.806272	1.20E-02
