incident angle	longitudinal	transverse
0	0.69	0
2.5	0.685	0
5	0.68	0
7.5	0.666	0
10	0.657	0
12.5	0.635	0
15	0.608	0
17.5	0.565	0
20	0.509	0
22.5	0.452	0
25	0.367	0
27.5	0.267	0
30	0.162	0.176
32.5	0.076	0.159
35	0.034	0.284
37.5	0	0.486
40	0	0.539
42.5	0	0.549
45	0	0.549
47.5	0	0.537
50	0	0.525
52.5	0	0.516
55	0	0.505
57.5	0	0.488
60	0	0.476
62.5	0	0.452
65	0	0.426
67.5	0	0.395
70	0	0.361
72.5	0	0.318
75	0	0.258
77.5	0	0.202
80	0	0.15
82.5	0	0.082
85	0	0.043
