-20 $\mu$A
$V_{\rm bias}$ 	$i$
V 	A
5.01E-02	-2.00E-05
1.00E-01	-2.00E-05
0.148911	-1.99E-05
0.206843	-1.97E-05
0.250736	-1.85E-05
0.300177	-1.09E-05
0.350654	3.48E-05
0.400433	2.28E-04
0.450401	8.01E-04
0.500651	2.34E-03
0.55099	5.18E-03
0.606441	1.04E-02
0.650277	1.20E-02
0.7007	1.20E-02
0.750497	1.20E-02
0.800511	1.20E-02
